               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.01252,            0.012049,           0.0097747,             0.94754,             0.93345,             0.97652,             0.91677,            0.009964,           0.0070149,           0.0077423,             0.00307,             0.00307,             0.00307
                  37,            0.012393,            0.012238,           0.0098068,             0.94015,             0.92728,             0.97333,             0.91614,           0.0096765,           0.0068312,           0.0090693,            0.002872,            0.002872,            0.002872
                  38,            0.012369,            0.012304,            0.009374,             0.94814,             0.92752,              0.9768,             0.92254,           0.0094877,           0.0068825,           0.0081617,            0.002674,            0.002674,            0.002674
                  39,            0.011978,            0.011823,           0.0094386,              0.9447,             0.94132,              0.9757,              0.9183,           0.0096722,           0.0068746,            0.008599,            0.002476,            0.002476,            0.002476
                  40,            0.011974,            0.011941,           0.0089252,             0.94675,             0.92598,             0.97192,             0.91539,           0.0094263,           0.0068329,           0.0084575,            0.002278,            0.002278,            0.002278
                  41,            0.011573,            0.011906,           0.0091183,             0.93926,             0.93461,             0.97229,             0.91883,           0.0096542,           0.0069841,           0.0085555,             0.00208,             0.00208,             0.00208
                  42,            0.011498,            0.011543,            0.008576,             0.94118,             0.92846,             0.97093,             0.91769,           0.0094739,           0.0068565,           0.0097989,            0.001882,            0.001882,            0.001882
                  43,            0.011245,            0.011499,           0.0082642,             0.94599,             0.93771,             0.97786,             0.92392,           0.0094762,           0.0068392,           0.0080822,            0.001684,            0.001684,            0.001684
                  44,            0.011027,            0.011475,           0.0077598,              0.9433,             0.94907,             0.97883,             0.93021,           0.0090899,           0.0066341,           0.0083034,            0.001486,            0.001486,            0.001486
                  45,            0.010842,            0.011323,           0.0077999,             0.95145,              0.9381,             0.97795,             0.92868,           0.0090794,           0.0066474,           0.0081013,            0.001288,            0.001288,            0.001288
                  46,            0.010719,            0.010998,           0.0078705,             0.94273,             0.94945,             0.97897,             0.93232,           0.0089969,           0.0065765,           0.0080042,             0.00109,             0.00109,             0.00109
                  47,            0.010583,              0.0108,           0.0076111,             0.94717,             0.94533,             0.98023,             0.93355,           0.0088815,           0.0065031,           0.0071659,            0.000892,            0.000892,            0.000892
                  48,            0.010651,             0.01094,           0.0077235,             0.95381,             0.94024,             0.98026,             0.93394,           0.0087891,           0.0065192,           0.0077463,            0.000694,            0.000694,            0.000694
                  49,            0.010377,            0.010803,           0.0075119,             0.95193,             0.94754,             0.97967,             0.93362,           0.0088599,           0.0065178,           0.0078488,            0.000496,            0.000496,            0.000496
